intersection_name,intersection_type,scenario,ped_estimation_type,lighting_cmf,twltl_cmf,bulbout_cmf,signal_cmf,school_cmf,pedvol,nlanes,aadt_maj,aadt_minor,nbi_mv,nbi_sv,nbi_all,nped_base,cmf_veh,cmf_ped,ped_factor,pred_veh,pred_ped,long_run_ped_prob,years,long_run_ped_percent
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.19915832783069765,20,19.92
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.20800216033702168,21,20.8
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.21674832887789786,22,21.67
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.22539791197331638,23,22.54
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.23395197623298514,24,23.4
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.24241157648785772,25,24.24
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.25077775592020746,26,25.08
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.25905154619226656,27,25.91
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.2672339675734432,28,26.72
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.2753260290661349,29,27.53
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.283328728530152,30,28.33
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.291243052805767,31,29.12
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.29906997783540534,32,29.91
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.3068104687839922,33,30.68
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.31446548015797027,34,31.45
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.32203595592300316,35,32.2
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.32952282962037927,36,32.95
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.3369270244821295,37,33.69
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.3442494535448747,38,34.42
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.3514910197624148,39,35.15
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.3586526161170758,40,35.87
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.36573512572982547,41,36.57
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.3727394219691753,42,37.27
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.3796663685588776,43,37.97
