intersection_name,intersection_type,scenario,ped_estimation_type,lighting_cmf,twltl_cmf,bulbout_cmf,signal_cmf,school_cmf,pedvol,nlanes,aadt_maj,aadt_minor,nbi_mv,nbi_sv,nbi_all,nped_base,cmf_veh,cmf_ped,ped_factor,pred_veh,pred_ped,long_run_ped_prob,years
Agate & Mesa,3st,Before - Low - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.10510242364318456,10
Agate & Mesa,3st,Before - High - Indirect,indirect,true,true,false,false,false,,,11000,1826.0,1.0495108175370085,0.22513488882378,1.2746457063607886,0.026767559833576562,0.8372,1.0,0.021,1.0671333853652523,0.0224098010926703,0.2007632034086403,10
Agate & Mesa,3st,After - Low - Indirect,indirect,true,true,true,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,0.63,0.021,0.5287905099085966,0.0069958984460907325,0.06756793667459982,10
Agate & Mesa,3st,After - High - Indirect,indirect,true,true,true,false,false,,,11000,1826.0,1.0495108175370085,0.22513488882378,1.2746457063607886,0.026767559833576562,0.8372,0.63,0.021,1.0671333853652523,0.014118174688382288,0.13166851918529665,10
Agate & 4th,4st,Before - Indirect,indirect,true,true,false,false,false,,,11000,836.0,1.511028592078244,0.23417188444989953,1.7452004765281435,0.038394410483619155,0.8372,1.0,0.022,1.4610818389493618,0.03214380045688596,0.27489441813280724,10
Agate & 4th,4st,After - Indirect,indirect,true,true,false,true,false,,,11000,1386.0,1.7145964510130736,0.24881787985196718,1.9634143308650407,0.043195115279030895,0.6446440000000001,1.0,0.022,1.2657032679061635,0.027845471893935596,0.24304745741211475,10
Agate & 4th,4sg,After - Direct,direct,true,true,false,false,false,145.32,5,11000,1386.0,1.879314047194549,0.14530362123338905,2.024617668427938,0.021103169198033497,0.8372,1.0,,1.6950099120078699,0.021103169198033497,0.19025159605587028,10
