intersection_type,lighting,twltl,bulbout,signal_cmf,school,aadt_maj,aadt_minor,nbi_mv,nbi_sv,nbi_all,nped_base,cmf_veh,cmf_ped,ped_factor,pred_veh,pred_ped,ten_year_ped_prob,pedvol,nlanes
4st,TRUE,TRUE,FALSE,FALSE,FALSE,11000,836,1.511028592078244,0.23417188444989953,1.7452004765281435,0.038394410483619155,0.8372,1,0.022,1.4610818389493618,0.03214380045688596,0.27489,NA,NA
4st,TRUE,TRUE,FALSE,TRUE,FALSE,11000,1386,1.7145964510130736,0.24881787985196718,1.9634143308650407,0.043195115279030895,0.6446440000000001,1,0.022,1.2657032679061635,0.027845471893935596,0.24305,NA,NA
4sg,TRUE,TRUE,FALSE,FALSE,FALSE,11000,1386,1.879314047194549,0.14530362123338905,2.024617668427938,0.021103294523233104,0.8372,1,NA,1.6950099120078699,0.017667678174850755,0.16195,145.32191780821918,5
3st,TRUE,TRUE,FALSE,FALSE,FALSE,11000,836,0.7618617606990312,0.1511480711440418,0.913009831843073,0.019173206468704535,0.8372,1,0.021,0.7643718312190209,0.016051808455599437,0.1483,NA,NA
3st,TRUE,TRUE,FALSE,FALSE,FALSE,11000,1826,1.0495108175370085,0.22513488882378,1.2746457063607886,0.026767559833576562,0.8372,1,0.021,1.0671333853652523,0.0224098010926703,0.20076,NA,NA
3st,TRUE,TRUE,TRUE,FALSE,FALSE,11000,836,0.7618617606990312,0.1511480711440418,0.913009831843073,0.019173206468704535,0.8372,0.63,0.021,0.7643718312190209,0.010112639327027646,0.09618,NA,NA
3st,TRUE,TRUE,TRUE,FALSE,FALSE,11000,1826,1.0495108175370085,0.22513488882378,1.2746457063607886,0.026767559833576562,0.8372,0.63,0.021,1.0671333853652523,0.014118174688382288,0.13167,NA,NA
